Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90?,Sweeper_AvgDist
15,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31-353,1991,16,1,0,0,0,0.06,0.87,0.27,-0.07,-0.07,7.81,18.9,41.3,29.1,4.69,48.5,40.2,7.38,65.3,50.3,12.8,0.63,4.9,1.75,1.75,16.6
16,Sergio Asenjo,es ESP,GK,Valladolid,es La Liga,33-297,1989,10,2.1,0.1,0.1,0,0,1.68,0.31,-0.42,-0.42,5.8,16.2,35.8,26,4.6,38.8,35.8,9.2,66.3,51.2,16.6,0.5,3,1.7,1.7,16.1
17,Mike Maignan,fr FRA,GK,Milan,it Serie A,27-292,1995,14,1.07,0.14,0,0.07,0,1.03,0.26,-0.04,-0.05,4.14,9.79,42.3,31.6,5.29,27.1,31.7,3.5,34.7,36.3,10.2,0.79,7.7,1.64,1.64,17.7
18,Steve Mandanda,fr FRA,GK,Rennes,fr Ligue 1,38-024,1985,27.5,0.95,0.04,0,0.18,0.04,1.04,0.28,0.13,0.13,5.27,13.9,37.9,31,4.73,33.8,32.7,5.82,59.4,42.8,11.3,1.02,9,1.64,1.64,16.8
19,Paulo Gazzaniga,ar ARG,GK,Girona,es La Liga,31-109,1992,19,1.26,0.11,0,0.16,0,1.5,0.33,0.24,0.24,5.53,15.4,35.8,29.3,5.11,34.4,34,8.58,62.6,49.2,17,1.53,9,1.63,1.63,15.7
20,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,32-016,1991,22.9,1.7,0.09,0,0.13,0.09,1.59,0.34,-0.03,-0.03,4.72,12.7,37.1,33.4,3.97,27.7,30.7,6.77,51,41.9,13.3,0.87,6.6,1.62,1.62,17.2
21,Emiliano Martínez,ar ARG,GK,Aston Villa,eng Premier League,30-231,1992,28.4,1.16,0.11,0.04,0.18,0.14,1.1,0.25,0.08,0.08,5.63,14.1,39.9,31.7,3.73,34.9,32.9,6.44,47.5,39.6,14.2,1.62,11.4,1.62,1.62,15.2
22,Danny Ward,wls WAL,GK,Leicester City,eng Premier League,29-303,1993,26,1.77,0.08,0.08,0.23,0.15,1.4,0.29,-0.21,-0.21,3.62,11.7,31,28.8,5.92,29.7,30.4,7.31,42.1,35.1,13.7,0.77,5.6,1.62,1.62,15.9
23,Gregor Kobel,ch SUI,GK,Dortmund,de Bundesliga,25-136,1997,21,1.29,0,0,0.19,0.05,1.32,0.29,0.09,0.09,3.81,10.2,37.4,32.7,4.43,21.7,29.4,7.29,42.5,37.8,11.8,0.57,4.9,1.57,1.57,17.3
24,David Raya,es ESP,GK,Brentford,eng Premier League,27-218,1995,31,1.35,0.06,0,0.26,0.1,1.36,0.24,0.11,0.11,9.26,23,40.3,36.3,4.65,49.2,38.7,7.19,71.3,51.8,16.2,1.45,9,1.55,1.55,16
25,Gavin Bazunu,ie IRL,GK,Southampton,eng Premier League,21-060,2002,31,1.71,0.03,0.03,0.23,0.13,1.1,0.28,-0.48,-0.48,6.61,19.2,34.4,29.4,4.61,49.4,37.8,7.06,66.7,49.6,14,1.13,8.1,1.52,1.52,15
26,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30-300,1992,28,1.29,0.14,0,0.14,0.07,1.2,0.25,-0.01,-0.01,7.5,16.7,45,38.4,5.43,32.4,33.3,7.96,52.9,45.9,14.1,0.75,5.3,1.5,1.5,16.9
27,Dean Henderson,eng ENG,GK,Nott'ham Forest,eng Premier League,26-040,1997,18,1.72,0.11,0.06,0.28,0,1.49,0.28,-0.23,-0.23,6,18.6,32.3,28.5,5.94,47.2,38.5,8.67,59,45.3,16.2,1.11,6.9,1.5,1.5,15.6
28,Ivan Provedel,it ITA,GK,Lazio,it Serie A,29-035,1994,29.9,0.67,0.03,0,0.17,0,0.79,0.24,0.12,0.12,4.38,10.5,41.9,29.9,4.38,28.8,33,5.28,35.4,34.7,13,0.54,4.1,1.51,1.5,16.6
29,Gerónimo Rulli,ar ARG,GK,Villarreal,es La Liga,30-336,1992,14,0.71,0,0,0.07,0,0.89,0.23,0.18,0.18,3.57,8.5,42,32.2,5,19.3,28.8,6.57,34.8,37.9,15.4,1.43,9.3,1.5,1.5,15.5
30,Florian Müller,de GER,GK,Stuttgart,de Bundesliga,25-159,1997,19,1.79,0.05,0.11,0.16,0,1.43,0.3,-0.36,-0.36,5.16,11.2,46.2,31.5,5.16,26.9,29.2,7,38.3,36.6,13.7,0.32,2.3,1.47,1.47,18.9
31,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-117,1993,28,1.11,0.14,0,0.14,0.11,1.15,0.28,0.15,0.15,3.93,14.5,27.2,22.7,5.64,43.9,38.6,8.46,53.2,44.6,14.3,0.75,5.2,1.46,1.46,15.8
32,Unai Simón,es ESP,GK,Athletic Club,es La Liga,25-314,1997,23.5,1.11,0.04,0,0.04,0.09,0.98,0.29,-0.04,-0.04,4.17,11.3,37,24.7,5.15,30,33.3,6.34,61.1,47.7,12.1,0.55,4.6,1.45,1.45,18.6
